# 1111100000000000,00000000000000000000
# 1111110000000001,00000000000000000000
# 1111110000000101,00000000000000000010
# 1111110000001001,00000000000000000100
# 1111110000001101,00000000000000001000
# 1111110000010001,00000000000000001100
# 1111110000010101,00000000000000010010
# 1111110000011001,00000000000000011000
# 1111110000011101,00000000000000100000
# 1111110000100001,00000000000000101000
# 1111110000100101,00000000000000110010
# 1111110000101001,00000000000000111100
# 1111110000101101,00000000000001001000
# 1111110000110001,00000000000001010100
# 1111110000110101,00000000000001100010
# 1111110000111001,00000000000001110000
# 1111110000111101,00000000000010000000
# 1111110001000001,00000000000010010000
# 1111110001000101,00000000000010100010
# 1111110001001001,00000000000010110100
# 1111110001001101,00000000000011001000
# 1111110001010001,00000000000011011100
# 1111110001010101,00000000000011110010
# 1111110001011001,00000000000100001000
# 1111110001011101,00000000000100100000
# 1111110001100001,00000000000100111000
# 1111110001100101,00000000000101010010
# 1111110001101001,00000000000101101100
# 1111110001101101,00000000000110001000
# 1111110001110001,00000000000110100100
# 1111110001110101,00000000000111000010
# 1111110001111001,00000000000111100000
# 1111110001111101,00000000001000000000
# 1111110010000001,00000000001000100000
# 1111110010000101,00000000001001000010
# 1111110010001001,00000000001001100100
# 1111110010001101,00000000001010001000
# 1111110010010001,00000000001010101100
# 1111110010010101,00000000001011010010
# 1111110010011001,00000000001011111000
# 1111110010011101,00000000001100100000
# 1111110010100001,00000000001101001000
# 1111110010100101,00000000001101110010
# 1111110010101001,00000000001110011100
# 1111110010101101,00000000001111001000
# 1111110010110001,00000000001111110100
# 1111110010110101,00000000010000100010
# 1111110010111001,00000000010001010000
# 1111110010111101,00000000010010000000
# 1111110011000001,00000000010010110000
# 1111110011000101,00000000010011100010
# 1111110011001001,00000000010100010100
# 1111110011001101,00000000010101001000
# 1111110011010001,00000000010101111100
# 1111110011010101,00000000010110110010
# 1111110011011001,00000000010111101000
# 1111110011011101,00000000011000100000
# 1111110011100001,00000000011001011000
# 1111110011100101,00000000011010010010
# 1111110011101001,00000000011011001100
# 1111110011101101,00000000011100001000
# 1111110011110001,00000000011101000100
# 1111110011110101,00000000011110000010
# 1111110011111001,00000000011111000000
# 1111110011111101,00000000100000000000
# 1111110100000001,00000000100001000000
# 1111110100000101,00000000100010000010
# 1111110100001001,00000000100011000100
# 1111110100001101,00000000100100001000
# 1111110100010001,00000000100101001100
# 1111110100010101,00000000100110010010
# 1111110100011001,00000000100111011000
# 1111110100011101,00000000101000100000
# 1111110100100001,00000000101001101000
