,Time (Seconds),Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Position
20,11.04,0.000191,-0.252498,1.4e-05,33.642109,6.491644,-6.789304,-0.081703,-0.009316,-33.946491,33.944782,-0.457568,0.803845,1.957601,1.260443,5.797164,-29.016174,41.163052,-40.853725,-34.539585,14.787059,2.147917,-1.000527,Back
21,11.055,-8.2e-05,-0.257416,1.4e-05,33.626797,6.531368,-6.789304,-0.077031,-0.007868,-33.946507,33.944359,-0.295255,0.490694,1.184833,0.775431,6.210021,-29.609184,40.952175,-40.861881,-34.389305,14.309943,1.18471,-1.745223,Back
22,11.070001,0.000369,-0.273604,1.4e-05,33.609024,6.551668,-6.789304,-0.072441,-0.005519,-33.946491,33.947651,-0.165086,0.157641,0.356864,0.240873,6.614205,-30.219927,40.718105,-40.863956,-34.26807,13.791368,0.254848,-2.5958,Back
23,11.085,-2.7e-05,-0.26691,0.0,33.591839,6.665445,-6.789304,-0.060311,0.00183,-33.946507,33.944443,0.092686,0.023632,0.135484,0.095623,7.116825,-30.276726,40.688557,-40.058594,-33.924717,12.878527,-0.241461,-2.92873,Back
24,11.1,0.000669,-0.282087,1.4e-05,33.594219,6.739881,-6.789304,-0.043686,0.010478,-33.946491,33.944649,0.101797,0.107808,-0.185535,-0.076635,7.60267,-30.409874,40.704582,-39.393799,-33.378464,12.056896,-0.760022,-3.406721,Back
25,11.115001,0.000314,-0.276295,0.0,33.602673,6.841978,-6.789304,-0.02508,0.023059,-33.946507,33.947487,0.362314,0.208772,-0.374404,-0.19966,8.107858,-30.44524,40.708378,-38.551773,-32.945213,11.120012,-1.143975,-3.729488,Back
26,11.13,0.000847,-0.289518,0.0,33.638107,6.842101,-6.789304,-0.00903,0.03691,-33.946491,33.945438,0.216326,0.346291,-0.580962,-0.289532,8.611612,-30.48349,40.77877,-37.736824,-32.225216,10.230394,-1.500907,-3.994486,Back
27,11.145,0.000437,-0.277101,1.4e-05,33.640636,6.855748,-6.789304,-0.001598,0.043426,-33.946476,33.949894,0.393296,0.485367,-0.745857,-0.401752,9.119341,-30.493994,40.731808,-36.889633,-31.892557,9.280902,-1.866062,-4.184502,Back
28,11.160001,0.00026,-0.275803,1.4e-05,33.584927,6.828632,-6.789304,0.002459,0.046773,-33.946491,33.95182,0.185057,0.561619,-1.079744,-0.567397,10.099609,-30.504896,40.6502,-35.263187,-31.011108,7.493332,-2.536787,-4.550026,Back
29,11.175,0.000328,-0.272566,0.0,33.647411,6.852674,-6.789304,0.00653,0.050762,-33.946491,33.947174,0.334215,0.634811,-1.21897,-0.628241,10.531182,-30.510962,40.679924,-34.548313,-30.543581,6.714896,-2.824065,-4.694417,Back
30,11.190001,0.000587,-0.283494,1.4e-05,33.649925,6.830818,-6.789304,0.011652,0.053112,-33.946507,33.947926,0.169894,0.697881,-1.416417,-0.747072,11.133714,-30.518774,40.687286,-33.531788,-29.889975,5.593666,-3.216828,-4.906835,Back
31,11.205,0.000423,-0.275803,0.0,33.662876,6.787582,-6.789304,0.00724,0.052606,-33.946491,33.947872,0.224618,0.844908,-1.586872,-0.815552,11.636279,-30.516289,40.697777,-32.703369,-29.381945,4.693337,-3.520157,-5.058274,Back
32,11.22,0.000437,-0.288248,0.0,33.63707,6.743309,-6.789304,0.003005,0.049942,-33.946491,33.950356,0.254452,0.631383,-1.775262,-0.932198,12.164922,-30.52309,40.697861,-31.80591,-28.852045,3.702837,-3.792763,-5.239015,Back
33,11.235001,0.000342,-0.280885,1.4e-05,33.660622,6.743979,-6.789304,0.000287,0.047948,-33.946507,33.949673,0.277593,0.674946,-1.954691,-1.004844,12.674782,-30.518639,40.69838,-30.967997,-28.338675,2.790351,-4.093729,-5.395098,Back
34,11.25,-4.1e-05,-0.272634,1.4e-05,33.640526,6.672753,-6.789304,-0.006707,0.043454,-33.946476,33.952393,0.269738,0.710668,-2.300203,-1.178904,13.660666,-30.528814,40.683449,-29.301662,-27.396395,0.976417,-4.58557,-5.753301,Back
35,11.265,0.000137,-0.269519,1.4e-05,33.661278,6.694036,-6.789304,-0.009849,0.042211,-33.946491,33.946438,0.268071,0.682636,-2.457516,-1.275688,14.093289,-30.521643,40.70488,-28.609545,-26.848736,0.171643,-4.885621,-5.869482,Back
36,11.280001,0.000109,-0.267457,0.0,33.645142,6.67636,-6.789304,-0.010737,0.041336,-33.946507,33.949932,0.252594,0.681571,-2.66652,-1.365409,14.697174,-30.520878,40.721779,-27.595562,-26.240618,-0.9181,-5.16585,-6.071915,Back
37,11.295,5.5e-05,-0.26564,2.7e-05,33.643204,6.656962,-6.789304,-0.016734,0.038932,-33.946507,33.947815,0.264683,0.642325,-2.849459,-1.479938,15.200081,-30.51943,40.736069,-26.763727,-25.676771,-1.860735,-5.509108,-6.226701,Back
38,11.31,0.000123,-0.266063,1.4e-05,33.638626,6.629901,-6.789304,-0.021843,0.035763,-33.946491,33.948963,0.242704,0.581399,-3.032099,-1.556942,15.729038,-30.512968,40.761913,-25.891088,-25.124537,-2.80897,-5.795812,-6.351803,Back
39,11.325001,5.5e-05,-0.281349,2.7e-05,33.586227,6.626158,-6.789304,-0.025053,0.031733,-33.946507,33.955097,0.096442,0.473086,-3.373144,-1.737464,16.711424,-30.526697,40.760452,-24.221231,-24.15715,-4.616402,-6.408029,-6.619833,Back
