,32bit_input_data,32bit_output_data
0,0000000000000000000000000000000,1111111111111110000000000000101
1,0000000000000000000000000000000,1111111111111110000000000001010
2,0000000000000000000000000000000,1111111111111110000000000001111
3,0000000000000000000000000000000,1111111111111110000000000010100
4,0000000000000000000000000000000,1111111111111110000000000011001
5,0000000000000000000000000000000,1111111111111110000000000011110
6,0000000000000000000000000000000,1111111111111110000000000100011
7,0000000000000000000000000000000,1111111111111110000000000101000
8,0000000000000000000000000000000,1111111111111110000000000101101
9,0000000000000000000000000000000,1111111111111110000000000110010
10,0000000000000000000000000000000,1111111111111110000000000110111
11,0000000000000000000000000000000,1111111111111110000000000111100
12,0000000000000000000000000000000,1111111111111110000000001000001
13,0000000000000000000000000000000,1111111111111110000000001000110
14,0000000000000000000000000000000,1111111111111110000000001001011
15,0000000000000000000000000000000,1111111111111110000000001010000
16,0000000000000000000000000000000,1111111111111110000000001010101
17,0000000000000000000000000000000,1111111111111110000000001011010
18,0000000000000000000000000000000,1111111111111110000000001011111
19,0000000000000000000000000000000,1111111111111110000000001100100
20,0000000000000000000000000000000,1111111111111110000000001101001
21,0000000000000000000000000000000,1111111111111110000000001101110
22,0000000000000000000000000000000,1111111111111110000000001110011
23,0000000000000000000000000000000,1111111111111110000000001111000
24,0000000000000000000000000000000,1111111111111110000000001111101
25,0000000000000000000000000000000,1111111111111110000000010000010
26,0000000000000000000000000000000,1111111111111110000000010000111
27,0000000000000000000000000000000,1111111111111110000000010001100
28,0000000000000000000000000000000,1111111111111110000000010010001
29,0000000000000000000000000000000,1111111111111110000000010010110
30,0000000000000000000000000000000,1111111111111110000000010011011
31,0000000000000000000000000000000,1111111111111110000000010100000
32,0000000000000000000000000000000,1111111111111110000000010100101
33,0000000000000000000000000000000,1111111111111110000000010101010
34,0000000000000000000000000000000,1111111111111110000000010101111
35,0000000000000000000000000000000,1111111111111110000000010110100
36,0000000000000000000000000000000,1111111111111110000000010111001
37,0000000000000000000000000000000,1111111111111110000000010111110
38,0000000000000000000000000000000,1111111111111110000000011000011
39,0000000000000000000000000000000,1111111111111110000000011001000
40,0000000000000000000000000000000,1111111111111110000000011001101
41,0000000000000000000000000000000,1111111111111110000000011010010
42,0000000000000000000000000000000,1111111111111110000000011010111
43,0000000000000000000000000000000,1111111111111110000000011011100
44,0000000000000000000000000000000,1111111111111110000000011100001
45,0000000000000000000000000000000,1111111111111110000000011100110
