# 10000000,0000000000
# 11000001,0000000000
# 11000101,0000000010
# 11001001,0000000100
# 11001101,0000001000
# 11010001,0000001100
# 11010101,0000010010
# 11011001,0000011000
# 11011101,0000100000
# 11100001,0000101000
# 11100101,0000110010
# 11101001,0000111100
# 11101101,0001001000
# 11110001,0001010100
# 11110101,0001100010
# 11111001,0001110000
# 11111101,0010000000
# 00000100,0010010000
# 00001000,0010011110
# 00001100,0010101100
# 00010000,0010111000
# 00010100,0011000100
# 00011000,0011001110
# 00011100,0011011000
# 00100000,0011100000
# 00100100,0011101000
# 00101000,0011101110
# 00101100,0011110100
# 00110000,0011111000
# 00110100,0011111100
# 00111000,0011111110
# 00111100,0100000000
